image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3507-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3860-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PWB-1015-0001.jpg, PROVENANCE, Hand Knotted- Wool And Bamboo Silk, 180x210 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3761-0001.jpg, PROVENANCE, Hand Knotted- Wool, 195x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3807-0001.jpg, PROVENANCE, Hand Knotted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3652-0001.jpg, PROVENANCE, Hand Knotted- Wool, 180x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3727-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3746-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3828-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3506-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3441-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3575-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3940-0001.jpg, PROVENANCE, Hand Knotted- Wool, 135x195 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3625-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3808-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3884-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3664-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3657-0001.jpg, PROVENANCE, Hand Knotted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3792-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x195 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3518-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3679-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3553-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3818-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3598-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3558-0001.jpg, PROVENANCE, Hand Knotted- Wool, 180x255 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3545-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3399-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3592-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_PWB-1029-0001.jpg, PROVENANCE, Hand Knotted- Wool And Bamboo Silk, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3493-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3587-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3823-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x210 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3645-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3607-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3570-0001.jpg, PROVENANCE, Hand Knotted- Wool, 180x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3471-0001.jpg, PROVENANCE, Hand Knotted- Wool, 180x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3690-0001.jpg, PROVENANCE, Hand Knotted- Wool, 135x195 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3915-0001.jpg, PROVENANCE, Hand Knotted- Wool, 135x195 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3941-0001.jpg, PROVENANCE, Hand Knotted- Wool, 150x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3591-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3616-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3377-0001.jpg, PROVENANCE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PSK-952-0007.jpg, LACUNA, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3447-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3910-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3853-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3831-0001.jpg, PROVENANCE, Hand Knotted- Wool, 165x225 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-3836-0001.jpg, PROVENANCE, Hand Knotted- Wool, 170x240 cm
