image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-4305-0001.jpg, GENESIS, Hand Tufted- Wool And Viscose, 120x180 - 360x540 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LEV-765-0001.jpg, DILKHUSH, Hand Knotted- Wool And Bamboo Silk, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TNC-1502-0001.jpg, YUNA, Hand Tufted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-4309-0010.jpg, GENESIS, Hand Tufted- Wool And Viscose, 270x390 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-13025-0023.jpg, UVENUTI, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-405-0005.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 195x295 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-8149-0001.jpg, YAADEIN, Hand Knotted- Wool And Bamboo Silk, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1845-0001.jpg, NASAMJH, Hand Knotted- Wool And Bamboo Silk, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1886-0001.jpg, PAHADO KA SATRANJ, Hand Knotted- Wool And Bamboo Silk, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1544-0001.jpg, STONE, Hand Knotted- Wool And Bamboo Silk, 150x210 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKBS-1127-0002.jpg, AZALEA, Hand Knotted- Bamboo Silk, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWS-1482-0003.jpg, ENTROPY, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-13025-0005.jpg, UVENUTI, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-8115-0001.jpg, SHOBHA, Hand Knotted- Wool And Bamboo Silk, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_NE-814-0010.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Silk, 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2579-0001.jpg, MILTA-JULTA, Hand Knotted- Wool And Bamboo Silk, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_QM-951-0028.jpg, FREE VERSE BY KAVI, Hand Knotted- Wool And Silk, 168x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TRA-14822-0001.jpg, CONFETTI, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1990-0001.jpg, RANGON KI LEHRE, Hand Knotted- Wool And Bamboo Silk, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-735-0002.jpg, HIDDEN BY KAVI, Hand Knotted- Wool And Bamboo Silk, 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2274-0001.jpg, ANU-PAN, Hand Knotted- Wool And Bamboo Silk, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2588-0001.jpg, MAUSAM KA JADU, Hand Knotted- Wool And Bamboo Silk, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_QM-951-0004.jpg, FREE VERSE BY KAVI, Hand Knotted- Wool And Silk, 168x240 - 195x295 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1837-0001.jpg, GAON KE RANG, Hand Knotted- Wool And Bamboo Silk, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-729-0002.jpg, HIDDEN BY KAVI, Hand Knotted- Wool And Bamboo Silk, 170x240 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-461-0001.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 168x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-4389-0008.jpg, GENESIS, Hand Tufted- Wool And Viscose, 150x240 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2363-0001.jpg, MERE GHAR KI PIPELINE, Hand Knotted- Wool And Bamboo Silk, 200x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_LES-6026-0001.jpg, MANCHAHA, Hand Knotted- Wool And Bamboo Silk, 180x258 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SKWS-53-0001.jpg, ENTROPY, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2105-0001.jpg, DUNGAR KA RASTA, Hand Knotted- Wool And Bamboo Silk, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2603-0001.jpg, MANCHAHA, Hand Knotted- Wool And Bamboo Silk, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1976-0001.jpg, DHAKIYA KI KALA, Hand Knotted- Wool And Bamboo Silk, 270x360 cm
