image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-57-0001.jpg, ORENDA, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_RE-1167-0002.jpg, THYME, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14485-0001.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_DWRM-217-0001.jpg, ORENDA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TRA-15190-CS-01-002.jpg, AURELIA, Hand Tufted- Wool And Viscose, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14895-0001.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-15052-0002.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 120x180 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_DW-224-0003.jpg, ORENDA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-104-0033.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 120x180 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-15057-0002.jpg, HACIENDA, Hand Tufted- Wool, 180x270 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TOP-287-0001.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TRA-14525-0001.jpg, CONFETTI, Hand Tufted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESH-1424-0001.jpg, VISCAYA, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13234-0001.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SKWL-283-0001.jpg, PANSY, Hand Knotted- Wool, 300x345 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_SLR-7070-0001.jpg, INDE ROSE, Hand Knotted- Wool And Silk, 240x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWP-13065-0003.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14999-0001.jpg, HACIENDA, Hand Tufted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TOP-284-0001.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_DWRM-219-0001.jpg, ORENDA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-13356-0001.jpg, ROAR, Hand Tufted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LCA-809-0001.jpg, PANSY, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_DW-225-0003.jpg, ORENDA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-640-3D-0014.jpg, INDE ROSE, Hand Knotted- Wool And Bamboo Silk, 200x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-15191-0001.jpg, AURELIA, Hand Tufted- Wool And Viscose, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14738-0001.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-104%28MD%29-01.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14892-0001.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13264-0001.jpg, CHECKERS, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKJT-72-0001.jpg, APREZO, Hand Knotted- Jute And Hemp, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TRA-13458-0012.jpg, HACIENDA, Hand Tufted- Wool And Viscose, 240x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13240-0004.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_SLR-7070%28CS-01%29-01.jpg, INDE ROSE, Hand Knotted- Wool And Silk, 180x240 - 300x480 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_EA-1524-0002.jpg, SOMEPLACE IN TIME, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TRA-1848-0001.jpg, HACIENDA, Hand Tufted- Wool, 180x270 cm
