image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ENM-7003-0001.jpg, VISCAYA, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PATK-17-0001.jpg, AALAM, Hand Knotted- Wool, 137x212 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-5151-0001.jpg, AALAM, Hand Knotted- Wool, 210x315 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-120-0001.jpg, AALAM, Hand Knotted- Wool, 150x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-5158-0001.jpg, AALAM, Hand Knotted- Wool, 225x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-322-0001.jpg, AALAM, Hand Knotted- Wool, 105x195 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SPR-1508-0001.jpg, VISCAYA, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LP-07-0001.jpg, SAVANA, Hand Knotted- Polyester, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-414-0001.jpg, AALAM, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-208-0001.jpg, AALAM, Hand Knotted- Wool, 180x315 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-828-0001.jpg, AALAM, Hand Knotted- Wool, 135x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_PAE-5254-0001.jpg, AALAM, Hand Knotted- Wool, 105x210 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-1647-0001.jpg, THYME, Hand Knotted- Wool, 240x300 cm
