image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_EBSH-5101-0001.jpg, VISCAYA, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-01%28CS-02%29-0001.jpg, ERBE, Hand Knotted- Wool, 180x270 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1738-0001.jpg, LACUNA, Hand Knotted- Wool, 120x210 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-585-0001.jpg, LACUNA, Hand Knotted- Wool, 210x315 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWV-13047-0004.jpg, ABRASH, Flat Weaves- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1824-0001.jpg, ERBE, Hand Knotted- Wool, 300x390 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ENM-8010%28CS01%29-0001.jpg, VISCAYA, Hand Knotted- Wool, 180x270 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_UNR-2011-0002.jpg, THYME, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-382-0001.jpg, LACUNA, Hand Knotted- Wool, 165x255 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13160-0004.jpg, ALHAMBRA, Flat Weaves- Wool, 120x180 - 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SKWL-497-0005.jpg, CYANNA, Hand Knotted- Wool, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_PAE-4041-0001.jpg, VINTAGE, Hand Knotted- Wool, 180x405 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PHBS-31-0008.jpg, APREZO, Hand Loom- Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-538-0001.jpg, LACUNA, Hand Knotted- Wool, 135x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWB-7052-0001.jpg, LACUNA, Hand Knotted- Wool And Bamboo Silk, 150x240 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LLV-3037%20%28CS-01%29-001.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_PAE-1905-0001.jpg, LACUNA, Hand Knotted- Wool, 120x255 cm
